reason,level,reading,writing,zh,page,column,entry_no,needs_review,review_reason
needs_review,N2,しょう,小,,423,left,06,1,duplicate_reading
too_short_zh,N2,たば,東,東,423,right,13,,
duplicate_reading,N2,ちょう,長,,423,right,44,,
duplicate_reading,N2,かいすう,回数,,424,right,01,,
duplicate_reading,N2,かさなる,重なる,,424,right,02,,
needs_review,N2,きゅう,級,,424,right,03,1,duplicate_reading
needs_review,N2,こうしゃ,後者,,424,right,04,1,duplicate_reading
needs_review,N2,さい,再,,424,right,,1,duplicate_reading
duplicate_reading,N2,さいさん,再三,,425,left,07,,
duplicate_reading,N2,しばしば,しばしば,,425,left,08,,
needs_review,N2,じゅう,重,,425,left,09,1,duplicate_reading
duplicate_reading,N2,ぜんしゃ,前者,,425,left,12,,
needs_review,N2,だい,第,,425,right,14,1,duplicate_reading
needs_review,N2,たび,度,,425,right,15,1,duplicate_reading
blank_zh,N2,ダブる,ダブる,,425,right,17,,
blank_zh,N2,やたらに,やたらに,,426,left,22,,
duplicate_reading,N2,えん,円,,426,left,02,,
duplicate_reading,N2,かくど,角度,,426,left,,,
duplicate_reading,N2,カラー,color,,426,right,,,
needs_review,N2,きごう,記号,,426,right,,1,reading_auto_cleaned
needs_review,N2,きゅう,球,,426,right,,1,duplicate_reading
duplicate_reading,N2,けい,形・型,,427,left,12,,
needs_review,N2,こん,紺,,427,left,13,1,duplicate_reading
duplicate_reading,N2,しかくい,四角い,,427,left,14,,
needs_review,N2,せい,正,,427,left,17,1,duplicate_reading
needs_review,N2,てんてん,点々,,428,left,,1,duplicate_reading
duplicate_reading,N2,まる,丸,,428,left,29,,
needs_review,N2,がく,学,,429,left,01,1,duplicate_reading
duplicate_reading,N2,がくしゅう,学習,,429,left,02,,
duplicate_reading,N2,きそ,基礎,,429,right,07,,
duplicate_reading,N2,こうえん,講演,,429,right,00,,
duplicate_reading,N2,さんこう,参考,,429,right,00,,
duplicate_reading,N2,じっけん,実験,,430,left,14,,
duplicate_reading,N2,しどう,指導,,430,left,,,
duplicate_reading,N2,じょうたつ,上達,,430,right,09,,
duplicate_reading,N2,ならう,習う,,431,left,27,,
duplicate_reading,N2,ほうしん,方針,,431,left,28,,
needs_review,N2,ほけん,保健,,431,left,29,1,duplicate_reading
needs_review,N2,がっき,学期,,431,right,03,1,duplicate_reading
needs_review,N2,きゅうこう,休校,,432,left,05,1,duplicate_reading
duplicate_reading,N2,こうか,校歌,,432,left,,,
duplicate_reading,N2,すいせん,推薦,,432,right,04,,
duplicate_reading,N2,いっせいに,一斉に,,433,left,04,,
duplicate_reading,N2,おいつく,追い付く,,433,right,07,,
needs_review,N2,かいとう,解答,,433,right,11,1,duplicate_reading
duplicate_reading,N2,かつどう,活動,,434,left,06,,
needs_review,N2,きゅうこう,休講,,434,left,08,1,duplicate_reading
needs_review,N2,こうてい,校庭,,434,right,00,1,duplicate_reading
blank_zh,N2,しいんと,しいんと,,434,right,04,,
needs_review,N2,しょう,賞,,435,left,29,1,duplicate_reading
duplicate_reading,N2,せんたく,選択,,435,right,34,,
duplicate_reading,N2,とりだす,取り出す,,436,right,03,,
blank_zh,N2,ばつ,ばつ,,436,right,05,,
duplicate_reading,N2,ふゆやすみ,冬休み,,436,right,08,,
duplicate_reading,N2,みなおす,見直す,,437,left,50,,
duplicate_reading,N2,やくわり,役割,,437,left,51,,
duplicate_reading,N2,きちょう,貴重,,438,left,0z,,
needs_review,N2,しき,式,,438,right,07,1,duplicate_reading
blank_zh,N2,しきたり,しきたり,,438,right,05,,
duplicate_reading,N2,そうしき,葬式,,438,right,01,,
duplicate_reading,N2,つく,突く,,439,left,13,,
duplicate_reading,N2,でんとう,伝統,,439,left,14,,
duplicate_reading,N2,かね,鐘,,440,left,04,,
duplicate_reading,N2,かみくず,紙くず,,440,left,,,
duplicate_reading,N2,きかい,器械,,440,right,,,
duplicate_reading,N2,きぐ,器具,,440,right,,,
duplicate_reading,N2,こと,琴,,441,left,17,,
duplicate_reading,N2,シーツ,sheet,,441,right,20,,
needs_review,N2,じゅう,銃,,441,right,23,1,duplicate_reading
needs_review,N2,せん,栓,,442,left,02,1,duplicate_reading
duplicate_reading,N2,ちゅうこ,中古,,442,right,01,,
needs_review,N2,ちゅうせい,中性,,442,right,02,1,duplicate_reading
duplicate_reading,N2,ちょうせつ,調節,,442,right,03,,
too_short_zh,N2,つな,綱,綱,442,right,05,,
blank_zh,N2,ねじ,ねじ,,443,left,39,,
duplicate_reading,N2,はぐるま,歯車,,443,left,41,,
blank_zh,N2,ピン,pin,,443,right,48,,
duplicate_reading,N2,ぼう,棒,,444,left,52,,
duplicate_reading,N2,めん,面,,444,right,07,,
duplicate_reading,N2,しん,忌,,445,left,06,,
duplicate_reading,N2,すみ,墨,,445,right,07,,
blank_zh,N2,そろばん,そろばん,,445,right,09,,
blank_zh,N2,はんこ,はんこ,,445,right,12,,
needs_review,N2,ほうそう,包装,,446,left,07,1,duplicate_reading
needs_review,N2,から,空,,446,right,03,1,duplicate_reading
duplicate_reading,N2,からっぽ,空っぽ,,446,right,04,,
blank_zh,N2,ぎっしり,ぎっしり,,447,left,0e,,
too_short_zh,N2,はかり,秤,秤,447,left,12,,
duplicate_reading,N2,しょうめい,照明,,448,left,00,,
blank_zh,N2,スピーカー,speaker,,448,left,00,,
duplicate_reading,N2,ビデオ,video,,448,right,09,,
duplicate_reading,N2,いちりゅう,一流,,449,left,01,,
duplicate_reading,N2,うちあわせ,打ち合わせ,,449,left,02,,
duplicate_reading,N2,うむ,有無,,449,left,04,,
duplicate_reading,N2,えんき,延期,,449,left,05,,
duplicate_reading,N2,こうどう,行動,,450,right,08,,
needs_review,N2,しきゅう,至急,,451,left,24,1,duplicate_reading
duplicate_reading,N2,しじ,指示,,451,left,25,,
duplicate_reading,N2,しゅっちょう,出張,,451,right,31,,
duplicate_reading,N2,そうべつ,送別,,452,left,38,,
duplicate_reading,N2,そしき,組織,,452,left,03,,
duplicate_reading,N2,たんとう,担当,,452,left,41,,
duplicate_reading,N2,ちょうせい,調整,,452,right,03,,
needs_review,N2,つとめ,勤め,,452,right,04,1,duplicate_reading
needs_review,N2,つとめる,務める,,452,right,45,1,duplicate_reading
duplicate_reading,N2,つぶれる,潰れる,,452,right,06,,
duplicate_reading,N2,どくとく,独特,,453,left,09,,
needs_review,N2,とる,採る,,453,left,50,1,duplicate_reading
duplicate_reading,N2,やとう,雇う,,454,left,63,,
duplicate_reading,N2,ようじ,用事,,454,left,04,,
too_short_zh,N2,りゅう,流,流,454,left,65,,
duplicate_reading,N2,がいぶ,外部,,454,right,01,,
duplicate_reading,N2,しょくば,職場,,455,left,08,,
blank_zh,N2,ちゃんと,ちゃんと,,455,left,09,,
duplicate_reading,N2,そうとう,相当,,455,right,04,,
duplicate_reading,N2,ちい,地位,,455,right,08,,
bad_reading_chars,N2,めいじる・めいずる,命じる・命ずる,,456,left,09,,
duplicate_reading,N2,かじ,家事,,456,left,,,
needs_review,N2,はく,掃く,,456,right,05,1,duplicate_reading
duplicate_reading,N2,かんり,管理,,457,left,02,,
duplicate_reading,N2,きのう,機能,,457,left,03,,
duplicate_reading,N2,せいぞう,製造,,458,left,12,,
duplicate_reading,N2,でんし,電子,,458,left,15,,
duplicate_reading,N2,しゅうかく,収穫,,458,right,03,,
duplicate_reading,N2,はたけ,畑,,459,right,12,,
duplicate_reading,N2,かんりょう,完了,,460,left,08,,
duplicate_reading,N2,せっけい,設計,,460,right,,,
duplicate_reading,N2,てっこう,鉄鋼,,461,left,14,,
duplicate_reading,N2,あんてい,安定,,462,left,01,,
needs_review,N2,かいほう,開放,,462,left,03,1,duplicate_reading
duplicate_reading,N2,けいこう,傾向,,462,right,07,,
duplicate_reading,N2,しげき,刺激,,462,right,09,,
duplicate_reading,N2,うけとる,受け取る,,463,left,03,,
duplicate_reading,N2,おろす,卸す,,463,left,04,,
duplicate_reading,N2,かぶ,株,,463,left,05,,
duplicate_reading,N2,きょうきゅう,供給,,463,right,07,,
duplicate_reading,N2,てつづき,手続き,,463,right,09,,
needs_review,N2,かんじょう,勘定,,464,left,05,1,duplicate_reading
duplicate_reading,N2,ばいばい,売買,,464,right,01,,
needs_review,N2,がく,額,,465,left,02,1,duplicate_reading
duplicate_reading,N2,かち,価値,,465,left,03,,
needs_review,N2,こうか,高価,,465,left,04,1,duplicate_reading
blank_zh,N2,それなり,それなり,,465,left,0e,,
needs_review,N2,ていか,定価,,465,right,07,1,duplicate_reading
duplicate_reading,N2,うりあげ,売り上げ,,466,left,01,,
duplicate_reading,N2,しょうひん,賞品,,466,left,03,,
duplicate_reading,N2,せいきゅう,請求,,466,left,04,,
needs_review,N2,ほけん,保険,,466,right,,1,duplicate_reading
needs_review,N2,もうける,儲ける,,466,right,,1,duplicate_reading
duplicate_reading,N2,りえき,利益,,467,left,14,,
needs_review,N2,しきゅう,支給,,467,left,04,1,duplicate_reading
duplicate_reading,N2,しゅうにゅう,収入,,467,right,05,,
duplicate_reading,N2,ただ,ただ,,467,right,0e,,
needs_review,N2,ゆうこう,有効,,467,right,08,1,duplicate_reading
duplicate_reading,N2,かいけい,会計,,467,right,01,,
needs_review,N2,こうか,硬貨,,468,left,04,1,duplicate_reading
duplicate_reading,N2,こうきょう,公共,,468,left,08,,
duplicate_reading,N2,げんきん,現金,,469,left,02,,
needs_review,N2,L導又名,控又名,,469,left,03,1,unexpected_reading_chars;suspicious_reading
needs_review,N2,紀33大<埋心,眉學金,,469,right,0g,1,unexpected_reading_chars;suspicious_reading
needs_review,N2,つうか,通貨,,470,left,14,1,duplicate_reading
duplicate_reading,N2,えんじょ,援助,,470,left,00,,
too_short_zh,N2,ごうか,華,華,470,left,,,
needs_review,N2,めぐまれる,恵まれる,,470,right,08,1,reading_auto_cleaned
