reading,writing,declaredNormalizedReading,zh,script,source_page,source_column,source_entry_no,source_writing
けいかく,計画,けいかく,計畫,kanji,114,left,01,計画
ぎじゅつ,技術,ぎじゅつ,技術,kanji,115,left,12,技術
がんばる,頑張る,がんばる,努力、加油,kanji,115,left,02,頑張る
やめる,辞める,やめる,辭職、停止,kanji,115,right,09,辞める
パート,パート,ぱあと,兼職、工讀,katakana,116,left,15,part
てつだい,手伝い,てつだい,幫忙,kanji,116,right,,手伝い
かいぎしつ,会議室,かいぎしつ,會議室,kanji,116,right,,会議室
かちょう,課長,かちょう,課長,kanji,116,right,,課長
チェック,チェック,ちぇっく,檢查、確認,katakana,116,right,,check
ノートパソコン,ノートパソコン,のおとぱそこん,筆記型電腦,katakana,117,left,01,noteboa personal computer 之略
デスクトップパソコン,デスクトップパソコン,ですくとっぷぱそこん,桌上型電腦,katakana,117,left,02,
キーボード,キーボード,きいぼおど,鍵盤,katakana,117,right,08,keyboard
マウス,マウス,まうす,滑鼠,katakana,117,right,04,mouse
スタートボタン,スタートボタン,すたあとぼたん,開始按鈕,katakana,117,right,08,start button
クリック,クリック,くりっく,點擊,katakana,117,right,09,クリック
にゅうりょく,入力,にゅうりょく,輸入,kanji,117,right,07,入力
ホームページ,ホームページ,ほおむぺえじ,網頁、首頁,katakana,118,left,09,homepage
ブログ,ブログ,ぶろぐ,部落格,katakana,118,left,00,blog
インストール,インストール,いんすとおる,安裝,katakana,118,left,11,install
じゅしん,受信,じゅしん,收信、接收,kanji,118,left,12,受信
しんきさくせい,新規作成,しんきさくせい,新增、建立新檔,kanji,118,left,43,新規作成
メール,メール,めえる,電子郵件,katakana,118,right,05,mail
メールアドレス,メールアドレス,めえるあどれす,電子郵件地址,katakana,118,right,05,mail address
アドレス,アドレス,あどれす,地址、網址,katakana,118,right,07,address
あてさき,宛先,あてさき,收件人、寄送地址,kanji,118,right,,宛先
けんめい,件名,けんめい,主旨,kanji,118,right,,件名
そうにゅう,挿入,そうにゅう,插入,kanji,118,right,,挿入
さしだしにん,差出人,さしだしにん,寄件人,kanji,119,left,21,差出人
てんぷ,添付,てんぷ,附件、附加,kanji,119,left,22,添付
そうしん,送信,そうしん,送信、傳送,kanji,119,left,23,送信
てんそう,転送,てんそう,轉寄、轉送,kanji,119,left,24,転送
キャンセル,キャンセル,きゃんせる,取消,katakana,119,left,25,cancel
ファイル,ファイル,ふぁいる,檔案,katakana,119,left,26,file
ほぞん,保存,ほぞん,保存,kanji,119,right,27,保存
へんしん,返信,へんしん,回信,kanji,119,right,28,返信
とくばいひん,特売品,とくばいひん,特價品,kanji,120,right,,特売品
バーゲン,バーゲン,ばあげん,特賣、折扣拍賣,katakana,120,right,,bargain sale 之略
ちゅうし,中止,ちゅうし,中止、取消,kanji,121,left,13,中止
クレジットカード,クレジットカード,くれじっとかあど,信用卡,katakana,121,right,04,credit card
こうきょうりょうきん,公共料金,こうきょうりょうきん,公共費用、水電瓦斯費,kanji,121,right,05,公共料金
しおくり,仕送り,しおくり,匯生活費、補貼,kanji,121,right,06,仕送り
わりあい,割合,わりあい,比例、比率,kanji,122,left,13,割合
ちかん,痴漢,ちかん,色狼、性騷擾者,kanji,123,left,01,痴漢
ストーカー,ストーカー,すとおかあ,跟蹤狂,katakana,123,left,02,ストーカー
こわす,壊す,こわす,弄壞、破壞,kanji,123,right,05,壊す
たす,足す,たす,加上、補足,kanji,125,left,04,足す
たりる,足りる,たりる,足夠,kanji,125,left,05,足りる
おおい,多い,おおい,多的,kanji,125,left,06,多い
おおきな,大きな,おおきな,大的,kanji,125,right,10,大きな
ちいさな,小さな,ちいさな,小的,kanji,125,right,11,小さな
きもち,気持ち,きもち,心情、感覺,kanji,126,left,04,気持ち
こわい,怖い,こわい,可怕的,kanji,126,right,,怖い
もてる,持てる,もてる,受歡迎、拿得動,kanji,127,left,14,持てる
ラブラブ,ラブラブ,らぶらぶ,甜蜜恩愛,katakana,127,left,15,lovelove
うれしい,嬉しい,うれしい,高興的,kanji,127,left,01,嬉しい
ユーモア,ユーモア,ゆうもあ,幽默,katakana,127,right,05,humor
ざんねん,残念,ざんねん,可惜、遺憾,kanji,128,left,11,残念
おくる,送る,おくる,寄送、送出,kanji,128,right,,送る
まま,まま,まま,照原樣、狀態,hiragana,129,right,08,まま
ばあい,場合,ばあい,情況、場合,kanji,129,right,10,場合
によると,に拠ると,によると,根據,kanji,130,left,45,に拠ると
あんな,あんな,あんな,那樣的,hiragana,130,left,16,あんな
げんいん,原因,げんいん,原因,kanji,130,right,,原因
よろしい,宜しい,よろしい,可以、好的,kanji,131,left,09,宜しい
しょうち,承知,しょうち,知道、同意,kanji,132,left,05,承知
にっき,日記,にっき,日記,kanji,133,left,05,日記
テキスト,テキスト,てきすと,課本、教材,katakana,133,right,09,text
まんが,漫画,まんが,漫畫,kanji,133,right,10,漫画
これから,これから,これから,從現在起、接下來,hiragana,134,left,02,これから
ずっと,ずっと,ずっと,一直、更加,hiragana,134,left,04,ずっと
まず,先ず,まず,首先,kanji,134,right,,先ず
もうすぐ,もう直ぐ,もうすぐ,快要、馬上,kanji,134,right,,もう直ぐ
ずいぶん,随分,ずいぶん,相當、非常,kanji,135,left,03,随分
そんなに,そんなに,そんなに,那麼、那樣地,hiragana,135,right,05,そんなに
ばかり,ばかり,ばかり,淨是、剛剛,hiragana,136,left,14,ばかり
ひじょうに,非常に,ひじょうに,非常,kanji,136,left,15,非常に
べつに,別に,べつに,並沒有特別、另外,kanji,136,left,16,別に
ほど,程,ほど,程度、大約,kanji,136,left,17,程
ほとんど,殆ど,ほとんど,幾乎、大部分,kanji,136,right,,殆ど
わりあいに,割合に,わりあいに,比較、相對地,kanji,136,right,,割合に
こう,こう,こう,這樣,hiragana,137,left,07,こう
もし,若し,もし,如果,kanji,137,right,03,若し
すると,すると,すると,於是、這樣一來,hiragana,138,left,01,すると
それで,それで,それで,因此、所以,hiragana,138,left,02,それで
それに,それに,それに,而且、再加上,hiragana,138,left,03,それに
だから,だから,だから,所以,hiragana,138,left,04,だから
おき,置き,おき,每隔,kanji,138,right,07,置き
ばい,倍,ばい,倍,kanji,138,right,,倍
さま,様,さま,先生/女士、樣子,kanji,139,left,14,様
せい,製,せい,製、製造,kanji,139,left,18,製
にくい,難い,にくい,難以,kanji,139,right,21,難い
ながら,ながら,ながら,一邊、雖然,hiragana,139,right,25,ながら
くださる,下さる,くださる,給我、為我做,kanji,140,right,,下さる
ございます,ございます,ございます,有、是,hiragana,141,left,17,ございます
でございます,でございます,でございます,是,hiragana,141,right,18,でございます
ぞんじあげる,存じ上げる,ぞんじあげる,知道、認識的謙讓語,kanji,141,right,20,存じ上げる
