reason,level,reading,writing,zh,page,column,entry_no,needs_review
needs_review,N1,ぶんし,分子,,610,right,,1
needs_review,N1,ほうわ,飽和,,610,right,,1
needs_review,N1,まく,膜,,610,right,,1
needs_review,N1,まやく,麻楽,,610,right,,1
duplicate_lower_or_base_reading,N1,こう,光,,611,left,03,
needs_review,N1,ほうしゃ,放射,,612,right,,1
needs_review,N1,ほうしゅつ,放出,,612,right,,1
needs_review,N1,まんタン,満 tank,,612,right,,1
needs_review,N1,りょうしつ,良質,,612,right,,1
needs_review,N1,エコ,ecology 之略,,612,right,,1
needs_review,N1,かいしゅう,回収,,612,right,,1
duplicate_lower_or_base_reading,N1,かせん,化繊,,613,left,03,
duplicate_lower_or_base_reading,N1,しぼう,脂肪,,613,left,05,
duplicate_lower_or_base_reading,N1,えいせい,衛星,,614,left,02,
needs_review,N1,てんたい,天体,,614,left,,1
duplicate_lower_or_base_reading,N1,てん,天,,614,right,07,
needs_review,N1,にしび,西日,,614,right,,1
needs_review,N1,まんげつ,満月,,614,right,,1
too_short_zh,N1,あられ,吉,吉,615,left,03,
duplicate_lower_or_base_reading,N1,かんき,寒気,,615,right,08,
duplicate_lower_or_base_reading,N1,こうすい,降水,,615,right,13,
duplicate_lower_or_base_reading,N1,つゆ,露,,616,left,18,
duplicate_lower_or_base_reading,N1,もる,漏る,,616,right,02,
duplicate_lower_or_base_reading,N1,よける,避ける,,616,right,03,
duplicate_lower_or_base_reading,N1,おさまる,治まる,,617,left,03,
duplicate_source_reading,N1,てんさい,天災,天災、自然災害,618,left,18,
duplicate_lower_or_base_reading,N1,はっせい,発生,,618,left,21,
duplicate_lower_or_base_reading,N1,はんらん,池沙,,618,left,22,
duplicate_lower_or_base_reading,N1,ひなん,避難,,618,left,23,
needs_review,N1,ふんしゅつ,噴出,,618,right,,1
needs_review,N1,もうれつ,猛烈,,618,right,,1
needs_review,N1,よしん,余岩,,618,right,,1
needs_review,N1,らっか,沙下,,618,right,,1
duplicate_lower_or_base_reading,N1,かい,海,,619,right,08,
duplicate_lower_or_base_reading,N1,かせん,河川,,619,right,10,
duplicate_existing_n1_reading,N1,そびえる,準える,聳立、峙立,620,right,03,
duplicate_lower_or_base_reading,N1,あらす,荒らす,,621,right,01,
duplicate_lower_or_base_reading,N1,いち,市,,622,left,03,
duplicate_lower_or_base_reading,N1,きゅうくつ,葉屈,,622,left,00,
duplicate_lower_or_base_reading,N1,がい,街,,624,left,08,
duplicate_lower_or_base_reading,N1,きぼ,規模,,624,left,09,
duplicate_lower_or_base_reading,N1,けん,圏,,625,left,17,
duplicate_lower_or_base_reading,N1,こうはい,荒廃,,625,left,18,
needs_review,N1,ほとり,辺,,626,right,,1
duplicate_lower_or_base_reading,N1,もう,網,,627,left,46,
duplicate_lower_or_base_reading,N1,りょういき,領域,,627,right,,
needs_review,N1,おりかえす,折り返す,,628,left,,1
needs_review,N1,かた,片,,628,right,,1
needs_review,N1,きてん,起点,,628,right,,1
duplicate_lower_or_base_reading,N1,そう,沿う,,629,left,18,
duplicate_lower_or_base_reading,N1,そる,反る,,629,right,21,
duplicate_lower_or_base_reading,N1,てんかい,転回,,630,left,30,
duplicate_lower_or_base_reading,N1,ふち,縁,,631,left,39,
duplicate_lower_or_base_reading,N1,ふりかえる,振り返る,,631,left,40,
duplicate_lower_or_base_reading,N1,へいこう,並行,,631,left,42,
duplicate_lower_or_base_reading,N1,みどり,緑,,631,left,43,
needs_review,N1,より,寄り,,632,right,,1
duplicate_lower_or_base_reading,N1,うんえい,運営,,633,left,01,
duplicate_lower_or_base_reading,N1,きこう,機構,,633,left,02,
