declaredNormalizedReading,reading,writing,zh,source_page,source_column,source_entry_no
ばいばい,バイバイ,バイバイ,再見,279,right,48
ひようろん,ひようろん,評論,評論、批評討論,279,right,49
まねる,まねる,真似る,模效、仿效、和人和,279,right,52
まるで,まるで,まるで,簡直、全部、完全、好像、宛如、恰如,279,right,53
めっせえじ,メッセージ,メッセージ,訊息、留言,279,right,54
よいしょ,よいしょ,よいしょ,嘿咻人,280,left,55
しょもつ,しょもつ,書物,書書籍園書,280,right,
たいとる,タイトル,タイトル,題目、標題、稲納、職稱,281,left,12
だいめい,だいめい,題名,題名、標題,281,left,13
でえた,データ,データ,論據、論證的事實、材料、資料、敷,281,left,15
としょ,としょ,図書,圖書,281,right,47
ぱんふれっと,パンフレット,パンフレット,小冊子,281,right,18
ぴら,ぴら,ぴら,傳單,281,right,19
めくる,めくる,捲る,翻、翻開、揭開、掀開,281,right,21
あくる,あくる,明くる,次、翌、明、第二,283,left,01
いつでも,いつでも,何時でも,入無論什麼時候、隨時、經常、總是,283,left,04
いまに,いまに,今に,時就要、即將、馬上、至今、直到現,283,left,05
えいえん,えいえん,永遠,永遠、永恆、永久,283,right,08
えいきゅう,えいきゅう,永久,永久、永遠,283,right,09
きしょう,きしょう,起床,起床、起身下床,284,left,43
じき,じき,時期,時期、時候、期間季節,284,left,01
してい,してい,指定,指定、指定選定,284,right,
しばる,しばる,縛る,綁、束縛,284,right,
しゅんかん,しゅんかん,瞬間,有間、測那間、測那當時。的,284,right,
しょうしょう,しょうしょう,少々,少許、一點、稍稍、片刻、少々待,284,right,
しょうみ,しょうみ,正味,實質內容、淨剩部分、淨重、實數、價、不折不扣的價格、批發價,284,right,
ずれる,ずれる,ずれる,錯位、動、離題、背離,285,left,23
そのころ,そのころ,そのころ,當時、那時,285,left,24
ただちに,ただちに,直ちに,立即、立刻、直接、親自、臣困,285,left,25
たちまち,たちまち,たちまち,轉眼間一瞬間、很快、立刻、忽多、突然,285,left,26
たらず,たらず,足らず,加分足着,285,right,29
ちかぢか,ちかぢか,近々,近日、不久,285,right,01
つぶす,つぶす,潰す,毀壞、弄碎、熔毀、熔化、消磨、消耗、宰殺、堵死、填滿,285,right,32
どうじ,どうじ,同時,同時、同一時間,285,right,03
とたん,とたん,途端,正曽...的時候、剛...的時,286,left,35
ながびく,ながびく,長引く,拖長、延長,286,left,38
はつ,はつ,発,出發、發出,286,left,09
ふきそく,ふきそく,不規則,不規則、無規律、不整齊、凌亂,286,right,
ぶさた,ぶさた,無沙汰,久末通信、久違、久疏問候,286,right,
ふだん,ふだん,普段,平常、平日,286,right,03
まっさき,まっさき,上真っ先,最前麵、首先、最先,286,right,05
まもなく,まもなく,間も無く,馬上、一會見、不久,286,right,05
おひる,おひる,お昼,白天、中飯、午餐,287,left,01
がんじつ,がんじつ,元日,元旦,287,left,03
がんたん,がんたん,元旦,元旦、新年第一天,287,left,04
さきおととい,さきおととい,一昨昨日,大前天、前三天、人宮,287,left,05
しょじゅん,しょじゅん,初旬,初旬、上旬,287,right,10
しんねん,しんねん,新年,新年、新的一年,287,right,01
せいれき,せいれき,西暦,西居、西元,288,left,12
せんせんげつ,せんせんげつ,先々月,上上個月,288,left,13
せんせんしゅう,せんせんしゅう,先々週,上上週,288,left,14
つきひ,つきひ,月日,日奥月、歳月、時光、日月、日期,288,left,45
とうじつ,とうじつ,当日,當天、當日、那一天,288,left,16
としつき,としつき,年月,年和月、歳月、光陰、長期長年、羅月、多年來,288,left,
にちじ,にちじ,日時,日期時間,288,right,08
にちや,にちや,日夜,日夜、綿是経常不斷地,288,right,00
にっちゅう,にっちゅう,日中,白天、日本與中國,288,right,01
にってい,にってい,日程,日程毎天的計書,288,right,02
ねんかん,ねんかん,年間,年間、一年期間,288,right,03
ねんげつ,ねんげつ,年月,年月、光除、時間、長年月,289,left,24
ねんじゅう,ねんじゅう,年中,全年、一年到頭,289,left,25
ねんど,ねんど,年度,年度、會計或學校年度,289,left,27
はやおき,はやおき,早起き,早起,289,left,28
はんつき,はんつき,半月,半個月、半月形、上弦月,289,left,29
はんにち,はんにち,半日,半天,289,left,30
ひがえり,ひがえり,日帰り,當天來回,289,right,31
ひづけ,ひづけ,日付,日期,289,right,32
ひるすぎ,ひるすぎ,昼過ぎ,過午、中午過後,289,right,34
ひるまえ,ひるまえ,昼前,上午、中午前,289,right,35
へいせい,へいせい,平成,平成、日本年號,289,right,36
まふゆ,まふゆ,真冬,隆冬、正冬天,290,left,37
よなか,よなか,夜中,半夜深夜、午夜,290,left,40
いこう,いこう,以降,以後之後,290,left,01
いつか,いつか,何時か,末來的不定時間、改天、過去的不、時間以前、不知不覺,290,right,
いつまでも,いつまでも,何時までも,到什麼時候也...、始終、永遠,290,right,
いらい,いらい,以来,以來、以後、今後、將來,290,right,05
きんだい,きんだい,近代,近代、現代,290,right,07
げん,げん,現,現、現在的,290,right,05
げんし,げんし,原始,原始、自然,291,left,10
さからう,さからう,逆らう,逆、反方向、人違背、違抗、抗、違荔,291,left,14
さきほど,さきほど,先程,側剛、方,291,right,15
すえ,すえ,末,結尾、末了、末端、盡頭、將來、未來、前途、不重要的、瑣事,291,right,07
せんご,せんご,戦後,戰後,291,right,08
ちゅうせい,ちゅうせい,中世,中世紀,291,right,19
とうじ,とうじ,当時,現在、目前、営時、那時,291,right,20
のちほど,のちほど,後程,稍後、過一會兒,292,left,21
らい,らい,来,下個、未來,292,left,23
いちじ,いちじ,一時,某時期、一段時間、那時、暫時、點鐘、同時、一下子,292,left,01
えんちょう,えんちょう,延長,延長、拉長時間,292,left,02
たんき,たんき,短期,短期、短時間,292,right,
ていきてき,ていきてき,定期的,定期、一定的期間,292,right,
いど,いど,井戸,井,293,left,02
がいしゅつ,がいしゅつ,外出,出門、外出,293,left,03
かおく,かおく,家屋,房屋、家屋,293,left,05
くらし,くらし,暮らし,度日、生活、生計、家境,293,right,oe
じたく,じたく,自宅,自己家,293,right,07
じゅうきょ,じゅうきょ,住居,住所、住宅,293,right,08
しゅうぜん,しゅうぜん,修繕,修繕、修理,293,right,09
じゅうたく,じゅうたく,住宅,住宅、住人的房子,293,right,10
じゅうたくち,じゅうたくち,住宅地,住宅區,293,right,11
すたあと,スタート,スタート,開始、出發,294,left,42
とりこわす,とりこわす,取り壊す,拆除,294,left,16
のき,のき,軒,屋簷,294,left,07
あまど,あまど,雨戸,木板套、滑窗,294,right,
いしがき,いしがき,石垣,石牆,294,right,02
かきね,かきね,垣根,禿色、柵欄、圍牆,294,right,03
かわら,かわら,瓦,瓦、屋頂瓦片,294,right,04
すきま,すきま,隙間,空隙、隙継、空間、開中,295,left,05
すずむ,すずむ,涼む,乗涼、納涼,295,left,oe
へい,へい,堀,圍牆、牆院、柵欄,295,left,07
ものおき,ものおき,物置,庫房、倉房,295,left,08
れんが,れんが,煉瓦,磚瓦,295,left,09
あわ,あわ,泡,泡、沫、水花,295,left,01
いた,いた,板,木板、薄板,295,right,02
かいてき,かいてき,似適,舒適、暢快愉快,295,right,08
かんき,かんき,換気,換氣、通風、使空氣流通,295,right,04
きゃくま,きゃくま,客間,客廳,295,right,08
ざしき,ざしき,座敷,日本式客廳、酒席、宴會、應酬、宴客的時間、接待客人,295,right,07
しく,しく,敷く,鋪、布置,295,right,08
しょうじ,しょうじ,障子,日本式紙拉門、隔羽,296,left,o
しょくたく,しょくたく,食卓,餐桌,296,left,10
しょさい,しょさい,書斎,書房、書齋,296,left,11
せんめん,せんめん,洗面,洗臉,296,left,12
ちらかす,ちらかす,散らかす,吧弄得生華人本、到處亂放、亂扔,296,left,13
ちらかる,ちらかる,散らかる,旺.凌亂、亂七八糟、到處都是,296,left,14
てあらい,てあらい,手洗い,洗手洗手盆、洗手用的水洗手間、手洗行。匣,296,right,05
とこのま,とこのま,床の間,壁龕、和室裝飾空間,296,right,05
ひっこむ,ひっこむ,引っ込む,引退、隱居、縮進、縮入、入、拉進、拉攏,296,right,07
たもと,たもと,袂,袖口、橋邊,296,right,
べんじょ,べんじょ,便所,廁所、便所,297,left,21
めいめい,めいめい,銘々,各自毎個人,297,left,23
ものおと,ものおと,物音,響聲、響動、聲音,297,left,24
やぶく,やぶく,破く,撕破、弄破,297,left,25
うすぐらい,うすぐらい,薄暗い,微暗的、陰暗的,297,left,01
かしま,かしま,貸問,出租的房間,297,right,02
かしや,かしや,貸家,出租的房子,297,right,03
すまい,すまい,住まい,居住、住處、寓所、地址,297,right,06
だんち,だんち,団地,工業區、住宅區,297,right,07
おうせい,おうせい,旺盛,旺盛、非常有活力,298,left,02
おかわり,おかわり,お代わり,再來一杯、一碗,298,left,09
きぐ,きぐ,器具,器具、用具,298,left,09
かろりい,カロリー,カロリー,卡路里、熱量,298,left,65
くう,くう,食う,吃、咬,298,right,06
こうきゅう,こうきゅう,高級,高高級、高,298,right,07
こんだて,こんだて,献立,菜單、計畫,298,right,09
さしみ,さしみ,刺身,生魚片,298,right,00
さっぱり,さっぱり,さっぱり,清爽、乾脆,299,left,11
しおからい,しおからい,塩辛い,吧鹹的,299,left,12
しつこい,しつこい,しつこい,過於濃的、油膩、執近、糾纏不休,299,left,13
じょうひん,じょうひん,上品,高雅、上等,299,left,16
しょくせいかつ,しょくせいかつ,食生活,飲食生活,299,right,17
しょくよく,しょくよく,食欲,食慾,299,right,08
そまつ,そまつ,粗末,粗糖、不精緻、疏忽、簡慢、糟中,299,right,20
ちゅうしょく,ちゅうしょく,昼食,午飯、午餐、中飯、中餐,299,right,01
ちょうしょく,ちょうしょく,朝食,早餐,299,right,22
つぐ,つぐ,注ぐ,倒入、注入,300,left,24
のこらず,のこらず,残らず,部、笑通、一個不剰和,300,left,25
のみかい,のみかい,飲み会,喝酒的聚會,300,left,26
ばいきんぐ,バイキング,バイキング,自助餐、吃到飽,300,left,27
まかなう,まかなう,賭う,供給飯食供給、供應、維持,300,left,28
よくばる,よくばる,欲張る,貪婪、貪心、貪得無壓,300,right,01
うぃすきい,ウィスキー,ウィスキー,威士忌,300,right,02
おかず,おかず,お数・お葉,菜飯、菜館,300,right,03
くりいむ,クリーム,クリーム,鮮妨油、奶酪、膏狀化妝品、皮鞋油、冰淇淋,301,left,08
じさん,じさん,持参,自備、攜帶,301,left,09
しょくえん,しょくえん,食塩,遼食塩砂糖味付,301,right,10
しょくもつ,しょくもつ,食物,食物、可吃的東西,301,right,02
とうふ,とうふ,豆腐,還豆腐很便宜,302,left,06
めし,めし,飯,飯、餐,302,left,
もる,もる,盛る,盛滿、裝滿、堆滿、堆高、配藥、下毒、刻劃、標刻度由,302,left,20
れいとうしょくひん,れいとうしょくひん,冷凍食品,冷凍食品、冷凍保存的食品,302,left,02
うすめる,うすめる,薄める,稀釋、弄淡,302,right,03
かねつ,かねつ,加熱,加熱、高溫處理,302,right,04
こがす,こがす,焦がす,弄糊、烤焦、燒焦、焦急、慮、用香薰,302,right,05
すいじ,すいじ,炊事,高調、煮飯,303,left,07
そそぐ,そそぐ,注ぐ,注入、傾注,303,left,08
ちょうみりょう,ちょうみりょう,調味料,調味料、佐料,303,left,09
できあがり,できあがり,出来上がり,完成、做好的結果,303,left,10
できあがる,できあがる,出来上がる,完成、做好、天性、生來就,303,left,11
ねっする,ねっする,熱する,加熱、變熱、發熱、熱中於、興奮激動,303,left,12
ひをとおす,ひをとおす,火を通す,加熱、煮熟,303,right,13
ゆげ,ゆげ,湯気,蒸氣、熱氣、水珠、水滴,303,right,04
れいとう,れいとう,冷凍,冷凍、低溫凍結,303,right,05
ずみ,ずみ,済み,完了、完結、付清、付族,304,left,06
ひび,ひび,鯉・交,裂痕、龜裂,304,left,
いりょうひん,いりょうひん,衣料品,衣料、衣服,305,left,02
おでかけ,おでかけ,お出掛け,出門正要出門,305,left,94
かおり,かおり,香り,芳香、香気,305,left,05
きれ,きれ,切れ,衣料、布頭、碎布,305,right,07
けがわ,けがわ,毛皮,毛皮、動物皮毛,305,right,08
しみ,しみ,染み,汗垢、玉沖,305,right,09
つるす,つるす,吊るす,懸起、吊起、掛著,305,right,10
どれす,ドレス,ドレス,女西服、洋裝、女禮服,305,right,11
ねまき,ねまき,寝間着,睡衣,306,left,12
はだぎ,はだぎ,肌着,襯衣、汗衫,306,left,03
はなやか,はなやか,華やか,華鹿、輝糧、活躍、引人注目,306,left,14
ふくそう,ふくそう,服装,服裝、服餓,306,left,15
ふくらむ,ふくらむ,膨らむ,鼓起、膨脹、岩嘴,306,left,06
みずぎ,みずぎ,水着,泳裝,306,left,07
もだん,モダン,モダン,現代的、流行的、時髦的,306,right,08
ゆかた,ゆかた,浴衣,浴衣着,306,right,09
ゆったり,ゆったり,ゆったり,六寬敞舒適、記服着,306,right,00
わふく,わふく,和服,日本和服、和服,306,right,01
わんぴいす,ワンピース,ワンピース,連身裙、洋裝,306,right,02
えぷろん,エプロン,エプロン,圍裙,307,left,03
おび,おび,帯,衣帶、腰帶、帶、的簡稱,307,left,04
かぶせる,かぶせる,被せる,蓋上、戴上,307,left,05
げた,げた,下駄,木履,307,left,07
じかに,じかに,直に,三接地、親自地、貼身,307,right,08
たび,たび,足袋,日式白布襪,307,right,oy
たれさがる,たれさがる,垂れ下がる,垂下,307,right,10
ながそで,ながそで,長袖,長袖、袖子較長的衣服,307,right,12
ばんど,バンド,バンド,樂團、帶子,307,right,13
ぶろおち,ブローチ,ブローチ,胸針,307,right,14
ほころびる,ほころびる,綻びる,脫線、使微微地張開、綻放,308,left,15
ほどく,ほどく,解く,拆解,308,left,06
けいと,けいと,毛系,毛線,308,left,00
てぬぐい,てぬぐい,手ぬぐい,布手中,308,left,02
ようもう,ようもう,羊毛,羊毛、羊身上的毛,308,right,05
わた,わた,綿,棉、棉花、柳囚、絲棉,308,right,06
かつぐ,かつぐ,担ぐ,扛、挑、推舉、擁戴、受騙,309,left,03
きんにく,きんにく,筋肉,肌肉,309,left,04
こしかける,こしかける,腰掛ける,坐下,309,right,oe
ころぶ,ころぶ,転ぶ,跌倒,309,right,07
しせい,しせい,姿勢,姿勢、態度,309,right,08
しゃがむ,しゃがむ,しゃがむ,語蹲下撿小石頭,309,right,09
しんしん,しんしん,心身,身和心、精神和肉體,309,right,00
ていれ,ていれ,手入れ,収拾、修整、検里、捜捕時,310,left,14
どうさ,どうさ,動作,時動作,310,left,15
とびはねる,とびはねる,飛び跳ねる,跳躍,310,left,
にぶい,にぶい,鈍い,鈍、不鋒利、慢、遲鈍、動作緩慢、朦朧,310,left,07
はだか,はだか,裸,裸體、沒有外皮的東西、精光、身無、文、不存先入之見、不裝飾門麵,310,right,
みあげる,みあげる,見上げる,仰視、仰誼、欽佩、尊敬、景仰,310,right,00
もたれる,もたれる,もたれる,依靠、憑靠、消化不良,310,right,01
わき,わき,脇,腋下、旁邊,311,left,23
あむ,あむ,編む,編、織、編輯、編纂,311,left,01
うがい,うがい,うがい,漱口,311,left,03
おもなが,おもなが,面長,長臉,311,right,07
けむい,けむい,煙い,煙撲到臉上使人無法呼吸、嗆人,311,right,11
こきゅう,こきゅう,呼吸,呼吸、吐納歩調、說、回呼吸,312,left,
しらが,しらが,白髪,日頭胡,312,left,06
すきとおる,すきとおる,透き通る,透明、清澈,312,left,07
するどい,するどい,鋭い,尖的、鋒利的、舌鋭的、烈、強烈、敏銳、聰明回,312,right,
そる,そる,剃る,剃、刮,312,right,
ためいき,ためいき,ため息,嘆氣、長吁短嘆,312,right,
たらす,たらす,垂らす,滴、垂,312,right,
ちぢれる,ちぢれる,縮れる,捲曲、起皺、出摺、毛縮,312,right,
つっこむ,つっこむ,突っ込む,衝入、閣入、深入、塞進、插入、沒入、深入追究,313,left,24
つや,つや,湯,光澤、潤澤、興趣精彩弁事、風流事,313,left,25
のぞく,のぞく,覗く,嗲視、探視、往下看、晃一眼、暑探他人秘,313,left,26
はさまる,はさまる,挟まる,夾在中間,313,left,27
ばっちり,ばっちり,ばっちり,眼大而水汪汪、睜大眼睛、轅目訪!了五戰世紀工必,313,left,28
ひとみ,ひとみ,瞳,瞳孔、眼睛,313,left,29
ほほえむ,ほほえむ,微笑む,微笑、含笑、微開、條開,313,right,31
ぼんやり,ぼんやり,ぼんやり,模糊、不清楚、迷糊、傻查、楞、心不在焉、笨蛋、呆子,313,right,32
みおろす,みおろす,見下ろす,俯視、往下看、輕視、萄視、看、不起、視線從上往下移動,313,right,34
みつめる,みつめる,見詰める,三二凝視、注視、盯著、國顏砷見選鄉召,313,right,35
あおぐ,あおぐ,扇ぐ,搧、仰望,314,left,01
あしあと,あしあと,足跡,胸印、蹤跡、事蹟、業績,314,left,02
あしもと,あしもと,足元,腳下、腳步、身旁、附近,314,left,03
あしをはこぶ,あしをはこぶ,足を運ぶ,去、前往拜訪,314,left,04
きよう,きよう,器用,形靈巧、精巧、手藝巧妙、精明、六人介全人誠久,314,left,05
くむ,くむ,波む,打水、汲取,314,right,05
こぐで,こぐで,汗ぐ,劃船、搖檔、蕩槳、蹤,314,right,08
こする,こする,擦る,摩擦、搓,314,right,09
しびれる,しびれる,痺れる,麻木、因強烈刺激而興奮,314,right,
しぼる,しぼる,絞る,擰、擠、榨,314,right,01
すっと,すっと,すっと,動作迅速地、和飛快、輕快、輕鬆、痛快、輕鬆,315,left,13
たちどまる,たちどまる,立ち止まる,站住、停步、停下,315,left,14
ちぎる,ちぎる,ちぎる,摘取、揪、接動,315,left,15
のろのろ,のろのろ,のろのろ,遲緩、慢吞吞地,315,left,17
はがす,はがす,剥がす,剝下、揭下,315,right,08
ふさがる,ふさがる,塞がる,阻塞、關閉、佑用、佑満,315,right,20
ふし,ふし,節,節、關節、曲調,315,right,21
ぶらさげる,ぶらさげる,ぶら下げる,佩帶、懸掛、手提、挫,315,right,23
ふれる,ふれる,触れる,接觸、提到,316,left,25
もちあげる,もちあげる,持ち上げる,舉起、抬起,316,right,07
いでん,いでん,遺伝,遺傳,317,left,01
いでんし,いでんし,遺伝子,基因,317,left,02
じんめい,じんめい,人命,人命、人的生命,317,left,05
せいめい,せいめい,生命,生命、壽命、重要的東西、關鍵、命、根子,317,right,07
じさつ,じさつ,自殺,自殺、自己結束生命,318,left,04
ししゃ,ししゃ,死者,死者、死人,318,left,05
したい,したい,死体,屍體,318,left,00
じゅみょう,じゅみょう,寿命,壽命、耐用期限,318,left,07
しわ,しわ,しわ,徐紋、纖折、摺子,318,left,08
せいぞん,せいぞん,生存,生存、活著存在,318,right,
いけない,いけない,いけない,不好、糟糕、沒希革不行、能喝酒、不能喝酒的人、不許、不可,319,left,02
こんなに,こんなに,こんなに,這樣、如此,319,left,04
さほう,さほう,作法,禮法、作法,319,left,05
そくてい,そくてい,測定,測定測量,319,right,og
ちぢむ,ちぢむ,縮む,縮縮小、抽縮起鍛紋、出拘、畏縮、退縮、惶恐、縮回去、縮進去,319,right,oo
はついく,はついく,発育,發育、成長,319,right,11
ひるね,ひるね,昼寝,午睡,319,right,12
わかわかしい,わかわかしい,若々しい,年輕有朝氣的、年輕輕的富人、氣的,319,right,03
あれる,あれる,荒れる,天氣弦壞、變粗糖、芒廢、醫、暴辰、胡鬧、秩序混亂,320,left,03
くずす,くずす,崩す,拆毀、打亂,320,right,
しょうもう,しょうもう,消耗,消費、消耗、耗盡、勞、磨損,320,right,00
しんたい,しんたい,身体,身體、人體,320,right,01
たいおん,たいおん,体温,體溫,321,left,13
とれる,とれる,取れる,脫落、掉下、需要、去掉、刪除、協調、均和,321,left,14
はかる,はかる,計る,測量、計量、推測、揣測、徵詢、諮詢,321,left,15
まわす,まわす,回す,轉、轉動、傳遞、傳送、調職、各處活動奔走、想辦法、運用,321,left,17
めまい,めまい,目眩,頭暈眼花,321,left,18
よみがえる,よみがえる,蘇る,甦醒、復活、復興復甦、回復、重新想起,321,right,19
いたみ,いたみ,痛み,疼痛、損傷,321,right,ot
いたむ,いたむ,痛む,療痛、苦悩、損壌,321,right,02
うなる,うなる,唸る,呻吟、吼叫、發出鳴聲、吩、哼、贊同、喝彩,321,right,03
こる,こる,凝る,凝固、入迷、講究,322,left,05
ずつう,ずつう,頭痛,頭痛、頭部疼痛,322,left,00
むしば,むしば,虫歯,王歯星牙,322,left,08
がい,がい,害,江人為害、損害、災害妨大,322,right,02
かぜぐすり,かぜぐすり,風邪薬,感冒藥,322,right,05
がち,がち,勝ち,往往、容易、動還大部分是,322,right,
かんびょう,かんびょう,看病,看護,322,right,
くるしめる,くるしめる,苦しめる,使痛苦、欺負,323,left,07
こうかてき,こうかてき,効果的,有效的,323,left,08
こうりょく,こうりょく,効力,效力、效果、效應、二《,323,left,09
こくふく,こくふく,克服,克服、戰勝困難,323,left,10
こっせつ,こっせつ,骨折,骨折、骨頭斷裂,323,left,11
さしつかえ,さしつかえ,差し支え,不方便、障礙、妨礙,323,left,12
じゅうしょう,じゅうしょう,重傷,重傷、嚴重受傷,323,right,13
しょうどく,しょうどく,消毒,消毒、殺菌處理,323,right,16
せいかつしゅうかんびょう,せいかつしゅうかんびょう,せいかつしゅうかんびょう,文明病,323,right,17
たたかう,たたかう,戦う・闘う,作戦、戦事、門事、競費,323,right,48
ていか,ていか,低下,降低、低落,324,left,01
てきせつ,てきせつ,適切,適當、恰當、妥切有,324,left,20
でんせん,でんせん,伝染,信染、傳染,324,left,21
ゆけつ,ゆけつ,輸血,輸血、輸入血液,324,left,24
あせ,あせ,汗,汗、汗水,324,right,01
きゅうよう,きゅうよう,休養,休養、休息調養,324,right,04
じゅんかん,じゅんかん,循環,循環、反覆流動,325,left,07
しょうか,しょうか,消化,掌握、理解、容納、吸收、處理,325,left,08
しょうべん,しょうべん,小便,小便、尿,325,left,09
しんけい,しんけい,神経,神經、察覺力威覺、神經作用,325,right,10
えんじ,えんじ,園児,幼園章,326,left,02
おんなのひと,おんなのひと,女の人,女人、女性,326,left,03
かくう,かくう,架空,虛構、空想,326,left,
かくじ,かくじ,各自,每個人、各自、回各自用意才名,326,left,05
かげ,かげ,影,影子、倒影、路影形中,326,right,05
かねそなえる,かねそなえる,兼ね備える,兩者兼備,326,right,
けはい,けはい,気配,跡象、苗頭、氣息,326,right,
じつに,じつに,実に,實在、非常,327,left,11
じんぶつ,じんぶつ,人物,人物、人品,327,left,13
たん,たん,短,短、不足、缺點,327,left,15
ひとめ,ひとめ,人目,世人的眼光、旁人看見、一眼章畫、眼看穿,327,right,09
みぶん,みぶん,身分,身份、社會地位、生活狀況、境遇,327,right,21
よびかける,よびかける,呼び掛ける,大招呼、呼喚、號召、呼徐、田人呼,328,left,23
ううまん,ウーマン,ウーマン,婦女女人,328,left,00
おとこのひと,おとこのひと,男の人,男人、男性,328,left,02
せいしょうねん,せいしょうねん,青少年,條消滅青少年的犯罪,328,left,05
せいべつ,せいべつ,性別,性別記入,328,right,06
だんし,だんし,男子,男子、男孩、男人、男子灌,328,right,08
としした,としした,年下,年幼、年紀小,328,right,05
ぼうや,ぼうや,坊や,對男孩的親切稱呼、未見過世麵的、青年、對別人男孩的敬般,328,right,04
ぼっちゃん,ぼっちゃん,坊ちゃん,公子令郎、少爺、不通事故的人、少分作風的人,329,left,12
めした,めした,目下,部下、下,329,left,13
おう,おう,王,王、國王,329,left,01
おうさま,おうさま,王様,國王、大王,329,left,02
おうじ,おうじ,王子,王子、王族的男子,329,left,03
おうじょ,おうじょ,王女,公主、王族的女子,329,left,04
おおや,おおや,大家,房東、正房、上房、主房,329,right,05
おてつだいさん,おてつだいさん,お手伝いさん,偶人,329,right,oe
おまえ,おまえ,お前,你,329,right,07
があるふれんど,ガールフレンド,ガールフレンド,女友,329,right,09
かたがた,かたがた,方々,代前大家、您們、這個那個、種種、各處、總之,330,left,01
かんじゃ,かんじゃ,患者,患者、病人,330,left,12
ぎいん,ぎいん,議員,議員、民意代表,330,left,13
ぎし,ぎし,技師,技師、工程師専業技術人員,330,left,14
ぎちょう,ぎちょう,議長,議長、主席,330,left,15
きゃぷてん,キャプテン,キャプテン,團體的首領、船長、隊長、主任,330,left,16
ぎゃんぐ,ギャング,ギャング,持榆強盜團體、盜伙,330,left,07
きょうじゅ,きょうじゅ,教授,教授、講授、教物,330,right,08
こおち,コーチ,コーチ,教練、技術指導、教練員,330,right,09
こうし,こうし,講師,講師、演講者,330,right,00
こくおう,こくおう,国王,國王、國君,330,right,01
こっく,コック,コック,廚師,330,right,02
さくしゃ,さくしゃ,作者,作者、創作者,330,right,03
しかい,しかい,司会,司儀、主持會議,331,left,25
じゃあなりすと,ジャーナリスト,ジャーナリスト,記者,331,left,26
しゅしょう,しゅしょう,首相,首相、内閣綿理大臣,331,left,27
しゅふ,しゅふ,主婦,主婦、女主人,331,left,28
じゅんきょうじゅ,じゅんきょうじゅ,准教授,教授,331,left,29
じょうきゃく,じょうきゃく,乗客,乗客旅客,331,left,30
しょうにん,しょうにん,商人,商人、做生意的人,331,right,31
じょおう,じょおう,女王,女王、王后皇女、王女,331,right,32
じょきょう,じょきょう,助教,助理教員、代理教員,331,right,33
じょしゅ,じょしゅ,助手,助手、幫手、助教,331,right,34
しろうと,しろうと,素人,外行、非專業人士,331,right,35
しんゆう,しんゆう,親友,各知心朋友,332,left,36
たいし,たいし,大使,大使、外交代表,332,left,37
ちょしゃ,ちょしゃ,著者,作者、著者,332,left,04
でし,でし,弟子,弟子、徒弟、門生、學徒,332,left,41
てんのう,てんのう,天皇,天皇、日本天皇,332,left,
はかせ,はかせ,博士,博士、博學之人入,332,right,
はんじ,はんじ,判事,審判員、法官,332,right,
ひっしゃ,ひっしゃ,律者,作者、筆者,332,right,
ぶし,ぶし,武士,武士、日本古代武人,332,right,
ふじん,ふじん,婦人,婦女、女子,332,right,
ぼおいふれんど,ボーイフレンド,ボーイフレンド,男朋友,333,left,49
ぼうさん,ぼうさん,坊さん,和尚,333,left,50
まいご,まいご,迷子,迷路的孩子、走失的孩子,333,left,51
めいじん,めいじん,名人,名人名家、大師、専家,333,left,53
やくしゃ,やくしゃ,役者,演員、善於做戲的人、手段高明的人,333,left,55
じゅうみん,じゅうみん,住民,居民,333,right,oz
じんるい,じんるい,人類,人類、人這個物種,333,right,03
のうみん,のうみん,農民,農民、務農的人,333,right,04
われわれ,われわれ,我々,我們、我,333,right,05
げひん,げひん,下品,卑痢、下流、低俗低級較,334,left,01
すたいる,スタイル,スタイル,文購、様式、風格、姿態、購態,334,left,03
すまあと,スマート,スマート,漠澤、時蛋、漂高、苗條知能型、智慧型,334,left,05
ちゅうにくちゅうぜい,ちゅうにくちゅうぜい,中肉中背,中等身材物,334,right,07
はんさむ,ハンサム,ハンサム,帥、英俊、美男子,334,right,08
びよう,びよう,美容,美容、美化容貌,334,right,
へいぼん,へいぼん,平凡,平凡顔美,334,right,01
ほっそり,ほっそり,ほっそり,纖細、苗條,334,right,02
ぽっちゃり,ぽっちゃり,ぽっちゃり,豐滿、胖,335,left,13
みかけ,みかけ,見掛け,今外貌、外觀、外表,335,left,14
みっともない,みっともない,見っとも無し,學難看的、不像樣的、不體麵的、成體統、醒,335,left,15
みにくい,みにくい,醒い,難看的、醜的、醜陋、醜惡,335,left,16
あつかましい,あつかましい,厚かましい,厚臉皮、無恥,335,right,02
あやしい,あやしい,人怪しい,奇怪的、可疑的、靠不住的、難以、置信、奇異、特別、笨拙、關係暖昧的,335,right,93
あわただしい,あわただしい,慌ただしい,匆匆忙忙的、慌慌張張的,335,right,04
いきいき,いきいき,生き生き,活潑、生氣勃勃、栩栩如生,335,right,05
いさましい,いさましい,勇ましい,勇敢的、振奮人心的、活潑的、有勇無謀,335,right,06
いちだんと,いちだんと,一段と,更加、越發,335,right,07
いばる,いばる,成張る,誇詞、得威風,335,right,08
かしこい,かしこい,賢い,聰明、伶俐,336,left,01
かって,かって,勝手,任意、任性、隨便,336,left,04
かわいがる,かわいがる,可愛がる,喜愛、疼愛、嚴加管教、教訓,336,right,
