declaredNormalizedReading,reading,writing,zh,source_page,source_column,source_entry_no
ぷろ,プロ,プロ,專業人士、職業選手,244,right,
ほいくし,ほいくし,保育士,保育士、幼保人員,244,right,
みゅうじしゃん,ミュージシャン,ミュージシャン,音樂家,244,right,
りょうし,りょうし,漁師,漁夫、漁民,245,left,53
かたづけ,かたづけ,片付け,整理、整頓、收拾,245,left,01
かわかす,かわかす,乾かす,曬乾、晾乾、烤乾,245,left,03
さいほう,さいほう,裁疑,裁縫縫紉,245,left,04
たたむ,たたむ,畳む,柚折、開、閣上、開閉結束、藏在心裡,245,right,oe
つめる,つめる,詰める,塞進、縮短、守候,245,right,97
ぬう,ぬう,縫う,縫、縫補、刺繡、穿過、穿行、縫合,245,right,10
こうじ,こうじ,工事,時工程、工事,246,left,02
さんぷる,サンプル,サンプル,所也疙樣品、樣本,246,left,04
のうぎょう,のうぎょう,農業,農耕、農業,246,right,00
まざる,まざる,交ざる,混雜、交雜、夾雜,246,right,01
かいすうけん,かいすうけん,回数券,回數票,247,left,01
せっと,セット,セット,一組、一套,247,right,06
ぷらんど,プランド,プランド,牌子、商標,247,right,og
ぷりぺいどかあど,プリペイドカード,プリペイドカード,預付卡,247,right,09
りょうがえ,りょうがえ,両替,衝季吃兌換、換錢、兌幣,248,left,41
れしいと,レシート,レシート,收據、發票、國選芝一下在也必。人,248,left,12
かし,かし,貸し,借出、貸款、貸方給別人的思恵,248,left,02
かしちん,かしちん,貸し賃,租金、賃費,248,left,03
ししゅつ,ししゅつ,支出,開支支出,248,right,07
じょ,じょ,助,幫助、協助,248,right,08
ただ,ただ,ただ,免費、普通、只是,249,left,10
ねあがり,ねあがり,値上がり,價格上漲、漲價,249,left,12
ねあげ,ねあげ,値上げ,提高價格、漲價,249,left,13
ぼおなす,ボーナス,ボーナス,特別紅利、花紅、獎金、額外津貼、紅利,249,left,15
いりょうひ,いりょうひ,衣料費,服裝費,249,right,01
おさめる,おさめる,納める,交、繳納,249,right,00
がくひ,がくひ,学費,學費,249,right,00
くすりだい,くすりだい,薬代,藥費,250,left,08
こうさいひ,こうさいひ,交際費,應酬費用,250,left,00
こうつうひ,こうつうひ,交通費,交通費、交通花費,250,left,10
こうねつひ,こうねつひ,光熱費,電費和瓦斯費等,250,left,01
じゅうきょひ,じゅうきょひ,住居費,久住宅費、居住費和,250,left,12
しゅうりだい,しゅうりだい,修理代,修理費,250,left,03
じゅぎょうりょよう,じゅぎょうりょよう,授業料,學費經,250,right,
しようりょう,しようりょう,使用料,使用費,250,right,
しょくじだい,しょくじだい,食事代,餐費、飯錢,250,right,
しょくひ,しょくひ,食費,伙食費、飯錢,250,right,
すいどうだい,すいどうだい,水道代,水費,250,right,
すいどうりょうきん,すいどうりょうきん,水道料金,水費,250,right,
せいかつひ,せいかつひ,生活費,生活費、生活開銷,251,left,20
ぜいきん,ぜいきん,税金,税金、税款,251,left,21
そうりょう,そうりょう,送料,郵費、運費,251,left,22
てすうりょう,てすうりょう,手数料,手續費、回扣、遼手數料,251,right,27
でんきだい,でんきだい,電気代,電費,251,right,28
でんきりょうきん,でんきりょうきん,電気料金,電費,251,right,29
でんしゃだい,でんしゃだい,電車代,電車費用,251,right,30
でんしゃちん,でんしゃちん,電車賃,電車費用,251,right,31
でんわだい,でんわだい,電話代,電話費,251,right,32
にゅゆうじょうりょう,にゅゆうじょうりょう,入場料,入場蒼、鈴坦費,252,left,33
へやだい,へやだい,部屋代,房租、住宿費,252,left,37
ほんだい,ほんだい,本代,到買書錢,252,left,38
やちん,やちん,家賃,房租,252,right,
ゆうそうりょう,ゆうそうりょう,郵送料,郵費,252,right,
ようふくだい,ようふくだい,洋服代,服裝費,252,right,
あずける,あずける,預ける,寄放、存放、委託、託付,253,left,02
かね,かね,金,金屬、錢、金錢,253,left,03
こぜに,こぜに,小銭,零錢、零用錢、少量資金,253,left,04
しょうきん,しょうきん,賞金,賞金、獎金,253,left,05
ためる,ためる,溜める,積、存、鞭、積磨停滞,253,right,07
ちょきん,ちょきん,貯金,存款、儲蓄,253,right,08
けんちょう,けんちょう,県庁,縣政府,254,left,01
こくさいてき,こくさいてき,国際的,吧國際的,254,left,03
どうちょう,どうちょう,道店,北海道的地方政府,254,right,
とちょう,とちょう,都庁,東京都政府,254,right,
ぱすぽおと,パスポート,パスポート,護照,255,left,11
みんかん,みんかん,民間,民間、民営私営,255,left,13
みんしゅ,みんしゅ,民主,民主、民主主義,255,left,14
へいたい,へいたい,兵隊,士兵軍人軍隊,255,right,04
ころす,ころす,殺す,殺死、致死、抑制、忍住、消除、埋沒、浪費、犧牲、典當、殺,256,left,05
じけん,じけん,事件,事件、案件、回事件起,256,left,
じょうけん,じょうけん,条件,了條件、條文、條款,256,left,07
つかまる,つかまる,捕まる,抓住、被捉住、逮捕、抓緊、揪住,256,right,
にせ,にせ,偽,假、假冒、廣品,256,right,
ぷらいばしい,プライバシー,プライバシー,私生活個人私密,256,right,
るうる,ルール,ルール,規章、章程、尺、界尺,256,right,
あきる,あきる,飽きる,厭倦、膩,257,left,01
うらやましい,うらやましい,羨ましい,羨慕、令人嫉妒、眼紅,257,left,05
おもいで,おもいで,思い出,回憶,257,right,08
おもいやる,おもいやる,思いやる,體諒、表同情、想像、推測,257,right,09
こうふく,こうふく,幸福,幸福、快樂滿足,258,left,07
しゅうきょう,しゅうきょう,宗教,款教,258,right,
そぼく,そぼく,素朴,樸素、純樸、質樸、純樸,258,right,
たいくつ,たいくつ,退屈,無聊、厭倦,259,left,23
